Rotoviz from MFL - 5/22,DLF June,DLF July,TwoQBs - 7/8
"Beckham, Odell","Beckham, Odell",,"Brown, Antonio"
"Hopkins, DeAndre","Brown, Antonio",,"Beckham, Odell"
"Brown, Antonio","Hopkins, DeAndre",,"Jones, Julio"
"Jones, Julio","Jones, Julio","Beckham, Odell","Newton, Cam"
"Gurley, Todd","Robinson, Allen","Brown, Antonio","Luck, Andrew"
"Robinson, Allen","Evans, Mike","Hopkins, DeAndre","Hopkins, DeAndre"
"Cooper, Amari","Cooper, Amari","Jones, Julio","Robinson, Allen"
"Bell, Le'Veon","Gurley, Todd","Robinson, Allen","Rodgers, Aaron"
"Elliott, Ezekiel","Elliott, Ezekiel","Evans, Mike","Wilson, Russell"
"Gronkowski, Rob","Gronkowski, Rob","Cooper, Amari","Green, A.J."
"Evans, Mike","Bell, Le'Veon","Green, A.J.","Evans, Mike"
"Bryant, Dez","Green, AJ","Gurley, Todd","Cooper, Amari"
"Green, A.J.","Bryant, Dez","Bell, Le'Veon","Bell, Le'Veon"
"Johnson, David","Watkins, Sammy","Elliott, Ezekiel","Gurley, Todd"
"Watkins, Sammy","Allen, Keenan","Allen, Keenan","Bryant, Dez"
"Allen, Keenan","Jeffery, Alshon","Bryant, Dez","Watkins, Sammy"
"Jeffery, Alshon","Cooks, Brandin","Watkins, Sammy","Elliott, Ezekiel"
"Cooks, Brandin","Johnson, David","Gronkowski, Rob","Gronkowski, Rob"
"Freeman, Devonta","Thomas, Demaryius","Cooks, Brandin","Allen, Keenan"
"Miller, Lamar","Treadwell, Laquon","Jeffery, Alshon","Winston, Jameis"
"Landry, Jarvis","Hilton, TY","Johnson, David","Cooks, Brandin"
"Newton, Cam","Cobb, Randall","Thomas, Demaryius","Jeffery, Alshon"
"Hilton, T.Y.","Miller, Lamar","Hilton, T.Y.","Roethlisberger, Ben"
"Thomas, Demaryius","White, Kevin","Miller, Lamar","Thomas, Demaryius"
"Luck, Andrew","Moncrief, Donte","Moncrief, Donte","Johnson, David"
"Benjamin, Kelvin","Parker, Devante","Benjamin, Kelvin","Bortles, Blake"
"Nelson, Jordy","Freeman, Devonta","Nelson, Jordy","Mariota, Marcus"
"Parker, DeVante","Landry, Jarvis","Landry, Jarvis","Carr, Derek"
"White, Kevin","Nelson, Jordy","Cobb, Randall","Landry, Jarvis"
"Peterson, Adrian","Benjamin, Kelvin","White, Kevin","Parker, DeVante"
"Rodgers, Aaron","Matthews, Jordan","Treadwell, Laquon","Nelson, Jordy"
"Cobb, Randall","Green-Beckham, Dorial","Parker, DeVante","Miller, Lamar"
"Treadwell, Laquon","Coleman, Corey","Matthews, Jordan","Hilton, T.Y."
"Reed, Jordan","Peterson, Adrian","Coleman, Corey","Freeman, Devonta"
"Lacy, Eddie","Newton, Cam","Newton, Cam","White, Kevin"
"Martin, Doug","Marshall, Brandon","Freeman, Devonta","Moncrief, Donte"
"Coleman, Corey","Lacy, Eddie","Floyd, Michael","Cobb, Randall"
"Hyde, Carlos","Doctson, Josh","Lockett, Tyler","Benjamin, Kelvin"
"Matthews, Jordan","Luck, Andrew","Green-Beckham, Dorial","Coleman, Corey"
"Wilson, Russell","Martin, Doug","Ingram, Mark","Ingram, Mark"
"Eifert, Tyler","Floyd, Michael","Maclin, Jeremy","Matthews, Jordan"
"Doctson, Josh","Maclin, Jeremy","Tate, Golden","Tannehill, Ryan"
"Moncrief, Donte","Hyde, Carlos","Peterson, Adrian","Green-Beckham, Dorial"
"Marshall, Brandon","Ingram, Mark","Doctson, Josh","Marshall, Brandon"
"Ingram, Mark","Reed, Jordan","Marshall, Brandon","Treadwell, Laquon"
"Maclin, Jeremy","Edelman, Julian","Brown, John","Lacy, Eddie"
"Charles, Jamaal","Tate, Golden","Lacy, Eddie","Floyd, Michael"
"Rawls, Thomas","Lockett, Tyler","Wilson, Russell","Martin, Doug"
"Kelce, Travis","Charles, Jamaal","Luck, Andrew","Stafford, Matthew"
"Green-Beckham, Dorial","Rodgers, Aaron","Martin, Doug","Brees, Drew"
"Edelman, Julian","Brown, John","Charles, Jamaal","Tate, Golden"
"Hurns, Allen","Shepard, Sterling","Reed, Jordan","Edelman, Julian"
"Floyd, Michael","Wilson, Russell","Edelman, Julian","Dalton, Andy"
"Yeldon, T.J.","Anderson, CJ","Hurns, Allen","Peterson, Adrian"
"Brown, John","Eifert, Tyler","Shepard, Sterling","Reed, Jordan"
"Bortles, Blake","Hurns, Allen","Rodgers, Aaron","Brady, Tom"
"Baldwin, Doug","Lewis, Dion","Hyde, Carlos","Charles, Jamaal"
"Tate, Golden","Sanders, Emmanuel","Baldwin, Doug","Eifert, Tyler"
"Olsen, Greg","Perriman, Breshad","Decker, Eric","Doctson, Josh"
"Shepard, Sterling","Thomas, Michael","Lewis, Dion","Maclin, Jeremy"
"Lockett, Tyler","Baldwin, Doug","Sanders, Emmanuel","Rivers, Philip"
"Langford, Jeremy","Henry, Derrick","Eifert, Tyler","Goff, Jared"
"Winston, Jameis","Rawls, Thomas","Rawls, Thomas","Manning, Eli"
"McCoy, LeSean","Decker, Eric","Kelce, Travis","Ryan, Matt"
"Diggs, Stefon","Kelce, Travis","Bernard, Giovani","Palmer, Carson"
"Anderson, C.J.","Yeldon, TJ","Thomas, Michael","Bridgewater, Teddy"
"Sanders, Emmanuel","McCoy, LeSean","Johnson, Duke","Shepard, Sterling"
"Gordon, Melvin","Jones, Matt","McCoy, LeSean","Hurns, Allen"
"Henry, Derrick","Bernard, Giovani","Olsen, Greg","Hyde, Carlos"
"Jones, Matt","Olsen, Greg","Yeldon, T.J.","Brown, John"
"Lewis, Dion","Johnson, Duke","Funchess, Devin","Lewis, Dion"
"Carr, Derek","Dixon, Kenneth","Jones, Marvin","Cousins, Kirk"
"Perriman, Breshad","Gordon, Melvin","Henry, Derrick","Osweiler, Brock"
"Murray, Latavius","Murray, Latavius","Diggs, Stefon","Romo, Tony"
"Dixon, Kenneth","Green, Ladarius","Anderson, C.J.","Rawls, Thomas"
"Decker, Eric","Funchess, Devin","Snead, Willie","Taylor, Tyrod"
"Forte, Matt","Diggs, Stefon","Fleener, Coby","Kelce, Travis"
"Murray, DeMarco","Jones, Marvin","Gordon, Melvin","Decker, Eric"
"Thomas, Michael","Hill, Jeremy","Hill, Jeremy","Lockett, Tyler"
"Mariota, Marcus","Carroo, Leonte","Ajayi, Jay","Flacco, Joe"
"Hill, Jeremy","Boyd, Tyler","Perriman, Breshad","Thomas, Michael"
"Johnson, Duke","Forte, Matt","Crabtree, Michael","Sanders, Emmanuel"
"Crabtree, Michael","Jackson, DeSean","Forte, Matt","Smith, Alex"
"Bernard, Giovani","Fitzgerald, Larry","Dixon, Kenneth","Jones, Matt"
"Ertz, Zach","Ajayi, Jay","Langford, Jeremy","McCoy, LeSean"
"Boyd, Tyler","Crabtree, Michael","Jones, Matt","Murray, Latavius"
"Ajayi, Jay","Abdullah, Ameer","Jackson, DeSean","Cutler, Jay"
"Abdullah, Ameer","Winston, Jameis","Fitzgerald, Larry","Lynch, Paxton"
"Funchess, Devin","Fuller, Will","Winston, Jameis","Yeldon, T.J."
"Fitzgerald, Larry","Langford, Jeremy","Abdullah, Ameer","Anderson, C.J."
"Jones, Marvin","Ertz, Zach","Boyd, Tyler","Wentz, Carson"
"Green, Ladarius","Prosise, CJ","Murray, Latavius","Boyd, Tyler"
"Walker, Delanie","Murray, DeMarco","Austin, Tavon","Perriman, Breshad"
"Booker, Devontae","Fleener, Coby","Fuller, Will","Johnson, Duke"
"Roethlisberger, Ben","Agholor, Nelson","Aiken, Kamar","Bernard, Giovani"
"Fleener, Coby","Smith, Torrey","Ertz, Zach","Henry, Derrick"
"Ebron, Eric","Bortles, Blake","Roethlisberger, Ben","Fitzpatrick, Ryan"
"Agholor, Nelson","Roethlisberger, Ben","Murray, DeMarco","Baldwin, Doug"
"Fuller, Will","Williams, Karlos","Carroo, Leonte","Diggs, Stefon"
"Gordon, Josh","Walker, Delanie","Bortles, Blake","Crabtree, Michael"
"Mathews, Ryan","Mathews, Ryan","Brees, Drew","Olsen, Greg"
"Brady, Tom","Snead, Willie","Prosise, C.J.","Forte, Matt"
"Prosise, C.J.","Ebron, Eric","Sims, Charles","Murray, DeMarco"
"Seferian-Jenkins, Austin","Booker, Devontae","Dorsett, Phillip","Ajayi, Jay"
"Thomas, Julius","Austin, Tavon","Ebron, Eric","Jones, Marvin"
"Williams, Karlos","Sims, Charles","Green, Ladarius","Langford, Jeremy"
"Carroo, Leonte","Woodhead, Danny","Smith, Torrey","Fuller, Will"
"Bryant, Martavis","Mariota, Marcus","Booker, Devontae","Hill, Jeremy"
"Woodhead, Danny","Gordon, Josh","Coleman, Tevin","Griffin III, Robert"
"Brees, Drew","Dorsett, Phillip","Mathews, Ryan","Gordon, Melvin"
"Austin, Tavon","Perkins, Paul","Benjamin, Travis","Kaepernick, Colin"
"Stewart, Jonathan","Coleman, Tevin","Carr, Derek","Austin, Tavon"
"Dorsett, Phillip","Wheaton, Markus","Thomas, Julius","Fitzgerald, Larry"
"Sims, Charles","Stewart, Jonathan","Coates, Sammie","Abdullah, Ameer"
"Snead, Willie","McKinnon, Jerick","Mariota, Marcus","Dixon, Kenneth"
"Perkins, Paul","Seferian-Jenkins, Austin","Williams, Karlos","Prosise, C.J."
"Coleman, Tevin","Coates, Sammie","Walker, Delanie","Snead, Willie"
"Benjamin, Travis","Carr, Derek","McKinnon, Jerick","Mathews, Ryan"
"Barnidge, Gary","Adams, Davante","Woodhead, Danny","Green, Ladarius"
"Graham, Jimmy","Howard, Jordan","Stewart, Jonathan","Ertz, Zach"
"McKinnon, Jerick","Brees, Drew","Wheaton, Markus","Bradford, Sam"
"Wheaton, Markus","Brady, Tom","Hogan, Chris","Woodhead, Danny"
"Jackson, DeSean","Benjamin, Travis","Riddick, Theo","Sims, Charles"
"Crowell, Isaiah","Thomas, Julius","Gordon, Josh","Gordon, Josh"
"Coates, Sammie","Cooper, Pharoh","Barnidge, Gary","Ebron, Eric"
"Cousins, Kirk","Crowell, Isaiah","Agholor, Nelson","Walker, Delanie"
"Goff, Jared","Gore, Frank","Graham, Jimmy","Carroo, Leonte"
"Ivory, Chris","Riddick, Theo","Allen, Dwayne","Bryant, Martavis"
"Miller, Braxton","Mitchell, Malcolm","Washington, DeAndre","Funchess, Devin"
"Howard, Jordan","Sharpe, Tajae","Brady, Tom","Fleener, Coby"
"Palmer, Carson","Drake, Kenyan","Crowell, Isaiah","McKinnon, Jerick"
"Walford, Clive","Smallwood, Wendell","Seferian-Jenkins, Austin","Dorsett, Phillip"
"Henry, Hunter","Miller, Braxton","Howard, Jordan","Seferian-Jenkins, Austin"
"Dalton, Andy","Ivory, Chris","Perkins, Paul","Jackson, DeSean"
"Collins, Alex","Henry, Hunter","Cousins, Kirk","Agholor, Nelson"
"Rivers, Philip","Marshall, Keith","Henry, Hunter","Booker, Devontae"
"Cooper, Pharoh","Allen, Dwayne","Mitchell, Malcolm","Williams, Karlos"
"Tannehill, Ryan","Janis, Jeff","Ivory, Chris","Perkins, Paul"
"Ryan, Matt","Washington, DeAndre","Lee, Marqise","Riddick, Theo"
"Thomas, Mike","Barnidge, Gary","Sanu, Mohamed","Thomas, Julius"
"Williams, Jonathan","Aiken, Kamar","Smallwood, Wendell","Stewart, Jonathan"
"Wright, Kendall","Smelter, DeAndre","Sharpe, Tajae","Barnidge, Gary"
"Riddick, Theo","Allen, Javorius","Palmer, Carson","Garoppolo, Jimmy"
"Washington, DeAndre","Wright, Kendall","Bryant, Martavis","Mitchell, Malcolm"
"Mitchell, Malcolm","Hogan, Chris","Wallace, Mike","Smith, Torrey"
"Adams, Davante","Cousins, Kirk","Gore, Frank","Allen, Dwayne"
"Manning, Eli","Bryant, Martavis","Drake, Kenyan","Benjamin, Travis"
"Allen, Javorius","Walford, Clive","Wright, Kendall","Wright, Kendall"
"Janis, Jeff","Graham, Jimmy","Crowder, Jamison","Howard, Jordan"
"Crowder, Jamison","Williams, Jonathan","Allen, Javorius","Sanchez, Mark"
"Smelter, DeAndre","Bennett, Martellus","Adams, Davante","Hooper, Austin"
"Smith, Torrey","Sanu, Mohamed","Thomas, Mike","Coates, Sammie"
"Stafford, Matthew","Palmer, Carson","Rivers, Philip","Henry, Hunter"
"Bennett, Martellus","Ervin, Tyler","Janis, Jeff","Smallwood, Wendell"
"Sanu, Mohamed","Rivers, Philip","Jackson, Vincent","Jones, Cardale"
"Drake, Kenyan","Hooper, Austin","Walford, Clive","Matthews, Rishard"
"Wentz, Carson","Crowder, Jamison","Bennett, Martellus","Walford, Clive"
"Foster, Arian","Thomas, Mike","Matthews, Rishard","Crowell, Isaiah"
"Hooper, Austin","Goff, Jared","Tannehill, Ryan","Coleman, Tevin"
"Lynch, Paxton","Bell, Kenny","Manning, Eli","Graham, Jimmy"
"Marshall, Keith","Conley, Chris","Taylor, Tyrod","Smelter, DeAndre"
"West, Charcandrick","Matthews, Rishard","Higgins, Rashard","Washington, DeAndre"
"Williams, DeAngelo","Robinson, Demarcus","Miller, Braxton","Drake, Kenyan"
"Allen, Dwayne","Tannehill, Ryan","Jennings, Rashad","Williams, Jonathan"
"Matthews, Rishard","Stafford, Matthew","Stafford, Matthew","Ivory, Chris"
"Gates, Antonio","Lynch, Paxton","Williams, DeAngelo","Hogan, Chris"
"Smallwood, Wendell","Gates, Antonio","Marshall, Keith","Allen, Javorius"
"Gore, Frank","Dalton, Andy","Foster, Arian             FA*   RB   164.00  6      144    191   160,150,191,166,173,14","Miller, Braxton"
"Hogan, Chris","Collins, Alex","Wentz, Carson","Thomas, Mike"
"Bridgewater, Teddy","Ferguson, Josh","Hooper, Austin","Adams, Davante"
"Forsett, Justin","Higgins, Rashard","Dalton, Andy","Wheaton, Markus"
"Taylor, Tyrod","Wentz, Carson","Goff, Jared","Sharpe, Tajae"
"Aiken, Kamar","Manning, Eli","Williams, Jonathan","Gore, Frank"
"Strong, Jaelen","Williams, Maxx","Amendola, Danny","Prescott, Dak"
"Cruz, Victor","Jackson, Vincent","Cooper, Pharoh","Aiken, Kamar"
"Williams, Maxx","Ryan, Matt","Robinson, Demarcus","Cooper, Pharoh"
"Wallace, Mike","Strong, Jaelen","Garcon, Pierre","Marshall, Keith"
"McFadden, Darren","Smith, Steve","Vereen, Shane","Gabbert, Blaine"
"Conley, Chris","Taylor, Tyrod","Ervin, Tyler","Hackenberg, Christian"
"Ginn, Ted","Wallace, Mike","Bridgewater, Teddy","Ervin, Tyler"
"Osweiler, Brock","Forsett, Justin","Ryan, Matt","West, Charcandrick"
"Johnson, Chris","Garrett, Keyarris","Bell, Kenny","Sanu, Mohamed"
"Rudolph, Kyle","Powell, Bilal","Gates, Antonio","Bell, Kenny"
"Watson, Ben","West, Charcandrick","Powell, Bilal","Crowder, Jamison"
"Griffin, Robert","Payton, Jordan","Forsett, Justin","Conley, Chris"
"Ervin, Tyler","Higbee, Tyler","Miller, Zach","Foster, Arian"
"Smith, Alex","Williams, Terrance","Romo, Tony","Higbee, Tyler"
"Bell, Kenny","Williams, DeAngelo","Beasley, Cole","Janis, Jeff"
"Romo, Tony","McDonald, Vance","Ferguson, Josh","Forsett, Justin"
"Ware, Spencer","Garcon, Pierre","West, Charcandrick","Kessler, Cody"
"Morris, Alfred","Bridgewater, Teddy","Williams, Terrance","Bennett, Martellus"
"Randle, Rueben","Jennings, Rashad","Ellington, Bruce","Powell, Bilal"
"Montgomery, Ty","Montgomery, Ty","Lynch, Paxton","Jackson, Vincent"
"Washington, Nate","Vereen, Shane","Collins, Alex","Clay, Charles"
"Ferguson, Josh","Lasco, Daniel","Randle, Rueben","Collins, Alex"
"Kearse, Jermaine","Spiller, CJ","Smelter, DeAndre","Miller, Zach"
"Smith, Steve","Blount, LeGarrette","Tye, Will","Witten, Jason"
"Williams, Terrance","Starks, James","Garrett, Keyarris","Montgomery, Ty"
"Jones, T.J.","Nelson, J.J.","Britt, Kenny","Ferguson, Josh"
"Sharpe, Tajae","Cameron, Jordan","Smith, Steve","Ware, Spencer"
"Cook, Jared","Miller, Zach","Conley, Chris","Tye, Will"
"Higgins, Rashard","Tye, Will","Strong, Jaelen","Payton, Jordan"
"Artis-Payne, Cameron","Thompson, Chris","Higbee, Tyler","Woods, Robert"
"Garrett, Keyarris","Witten, Jason","Hillman, Ronnie","Gates, Antonio"
"Powell, Bilal","Wilson, De'Runnya","Flacco, Joe","Glennon, Mike"
"Vereen, Shane","Ware, Spencer","Ware, Spencer","Williams, Maxx"
"Jennings, Rashad","Artis-Payne, Cameron","Kroft, Tyler","Cook, Jared"
"Nelson, J.J.","Osweiler, Brock","Woods, Robert","Vereen, Shane"
"Lasco, Daniel","Clay, Charles","Hawkins, Andrew","Adams, Jerell"
"Blount, LeGarrette","Romo, Tony","Robinson, Khiry","Smith, Steve"
"Hardy, Justin","Zenner, Zach","Jones, Cardale","Garrett, Keyarris"
"Starks, James","Flacco, Joe","Braverman, Daniel","Boehringer, Moritz"
"Jones, Cardale","Ellington, Bruce","McFadden, Darren","Lasco, Daniel"
"Garcon, Pierre","Hardy, Justin","Carey, Ka'Deem","Higgins, Rashard"
"Witten, Jason","Lewis, Roger","Cameron, Jordan","Zenner, Zach"
"Miller, Zach","Woods, Robert","Nelson, J.J.","Cameron, Jordan"
"Rodgers, Richard","Johnson, Calvin","Clay, Charles","Jennings, Rashad"
"Jackson, Vincent","Peake, Charone","Lasco, Daniel","Moore, Chris"
"Tye, Will","Hillman, Ronnie","Montgomery, Ty","Garcon, Pierre"
"Robinson, Demarcus","Rogers, Eric","Brown, Corey","Wallace, Mike"
"Cameron, Jordan","Brate, Cameron","Boldin, Anquan            FA    WR   204.00  1      204    204   20","Strong, Jaelen"
"Coleman, Brandon","Rudolph, Kyle","Starks, James","Watson, Terrell"
"Johnson, Calvin","Randle, Rueben","Blount, LeGarrette","McCown, Josh"
"Clay, Charles","Adams, Jerell","Rodgers, Richard","Thompson, Chris"
"Lee, Marqise","Johnson, Steve","Moore, Chris","Rudolph, Kyle"
"Blue, Alfred","Kearse, Jermaine","Artis-Payne, Cameron","Spiller, C.J."
"Garoppolo, Jimmy","North, Marquez","Fitzpatrick, Ryan","McDonald, Vance"
"Moore, Chris","Davis, Mike","Taylor, Kelvin","Artis-Payne, Cameron"
"Hillman, Ronnie","Michael, Christine","Witten, Jason","Hardy, Justin"
"Peake, Charone","Rodgers, Richard","Williams, Maxx","Driskel, Jeff"
"Payton, Jordan","Quick, Brian","Payton, Jordan","Lee, Marqise"
"Fitzpatrick, Ryan","Barber, Peyton","Johnson, Stevie","Williams, DeAngelo"
"Cutler, Jay","Morris, Alfred","Garoppolo, Jimmy","Vannett, Nick"
"Spiller, C.J.","Ellington, Andre","Hardy, Justin","Williams, Terrance"
"Boehringer, Moritz","Griffin, Robert","Gillmore, Crockett","Dunbar, Lance"
"Flacco, Joe","Roberts, Seth","Draughn, Shaun","Robinson, Demarcus"
"Stills, Kenny","Cutler, Jay","McDonald, Vance","Ellington, Bruce"
"LaFell, Brandon","Burbridge, Aaron","Cutler, Jay","DeValve, Seth"
"Adams, Jerell","Cruz, Victor","Cook, Jared","Grayson, Garrett"
"Thompson, Chris","White, James","Ginn Jr., Ted","McFadden, Darren"
"Zenner, Zach","Vannett, Nick","Watson, Terrell","Amaro, Jace"
"Mason, Tre","Enunwa, Quincy","Zenner, Zach","Ginn Jr., Ted"
"Amaro, Jace","Coleman, Brandon","Kendricks, Lance","Lynch, Marshawn"
"Robinson, Khiry","Richardson, Paul","Davis, Mike","Johnson, Chris"
"Woods, Robert","Braverman, Daniel","Osweiler, Brock","Barner, Kenjon"
"Ellington, Andre","Amaro, Jace","Louis, Ricardo","White, James"
"Smith, Devin","Kroft, Tyler","Thompson, Chris","Blount, LeGarrette"
"Bradford, Sam","McFadden, Darren","Griffin III, Robert","Taylor, Kelvin"
"Davis, Mike","Heuerman, Jeff","Vannett, Nick","Johnson, Stevie"
"Higbee, Tyler","Heyward-Bey, Darrius","Boehringer, Moritz","Coleman, Brandon"
"Britt, Kenny","Lee, Marqise","Heuerman, Jeff","Rogers, Eric"
"Michael, Christine","Carey, Ka'Deem","Johnson, Chris","Peake, Charone"
"Roberts, Seth","Johnson, Chris","Roberts, Seth","Daniel, Chase"
"Amendola, Danny","Sproles, Darren","Barber, Peyton","LaFell, Brandon"
"Watson, Terrell","Butler, Brice","Rudolph, Kyle","Michael, Christine"
"Alford, Mario","Campanaro, Michael","Prescott, Dak","Morris, Alfred"
"Latimer, Cody","Britt, Kenny","Ellington, Andre","Nassib, Ryan"
"White, James","Latimer, Cody","Quick, Brian","Cook, Connor"
"Kaepernick, Colin","Abbrederis, Jared","Smith, Alex","Reynolds, Keenan"
"Sproles, Darren","Amendola, Danny","Cruz, Victor","McCarron, A.J."
"McDonald, Vance","Pruitt, MyCole","DeValve, Seth","Davis, Mike"
"Heuerman, Jeff","Inman, Dontrelle","Greene, Rashad","Jackson, Darius"
"Beasley, Cole","Wilson, Albert","Morris, Alfred","Heuerman, Jeff"
"Barber, Peyton","Prescott, Dak","Michael, Christine","Washington, Dwayne"
"Wilson, Albert","Smith, Alex","Washington, Dwayne","Lawler, Kenny"
"Hightower, Tim",,"Amaro, Jace","Hillman, Ronnie"
"Washington, Dwayne",,"Cunningham, Benny","Randle, Rueben"
"Ellington, Bruce",,"Kearse, Jermaine","Brissett, Jacoby"
"Greene, Rashad",,"LaFell, Brandon","Duarte, Thomas"
"Hackenberg, Christian",,"Rogers, Eric","Britt, Kenny"
"Carey, Ka'Deem",,"Sproles, Darren","Nelson, J.J."
"Draughn, Shaun",,"Hightower, Tim","Starks, James"
"Lynch, Marshawn",,"Brate, Cameron","Roberts, Seth"
"Gillmore, Crockett",,"Spiller, C.J.","Barber, Peyton"
"Davis, Knile",,"Jackson, Darius","Rodgers, Richard"
"Brate, Cameron",,"Watson, Ben","Sproles, Darren"
"Harris, Dwayne",,"Wilson, Albert","Quick, Brian"
"Richardson, Trent",,"Bradford, Sam","Richardson, Trent"
"Jones, James",,"Peake, Charone","Gathers, Rico"
"Ellington, Bruce",,"Listenbee, Kolby","Butler, Brice"
"Rodgers, Jacquizz",,"Lawler, Kenny","Braverman, Daniel"
"Inman, Dontrelle",,"Turbin, Robert","Pruitt, MyCole"
"White, James",,"Core, Cody","Carey, Ka'Deem"
"Dyer, Michael",,"Hackenberg, Christian","Johnson, Calvin"
"Hawkins, Andrew",,,"Cruz, Victor"
"McCown, Josh",,,"Louis, Ricardo"
"Housler, Robert",,,"Braunecker, Ben"
"Brown, Bryce",,,"Hundley, Brett"
"Gray, Jonas",,,"North, Marquez"
"Greenberry, Deontay",,,"Draughn, Shaun"
"Hester, Devin",,,"Williams, Duke"
"Niklas, Troy",,,"Smith, Geno"
"Toon, Nick",,,
"Cunningham, Benny",,,
"James, Jesse",,,
"Bradshaw, Ahmad",,,
"Rainey, Bobby",,,
"Wright, Jarius",,,
"Goodley, Antwan",,,
"Rawls, Thomas",,,
"Streater, Rod",,,
"Paul, Niles",,,
"Mannion, Sean",,,
"Pitta, Dennis",,,
"Kearse, Jermaine",,,
"Heuerman, Jeff",,,
"Thomas, Logan",,,
"Willson, Luke",,,
"Taylor, Tyrod",,,
"Archer, Dri",,,
"Jennings, Greg",,,
"Thomas, Pierre",,,
"Lippett, Tony",,,
"Aiken, Kamar",,,
"Pierce, Bernard",,,
"O'Leary, Nick",,,
"Dunbar, Lance",,,
"Coleman, Brandon",,,
"Harper, Josh",,,
"Redd, Silas",,,
"Abbrederis, Jared",,,
"Sims, Dion",,,
"Moreno, Knowshon",,,
"Rogers, Da'Rick",,,
"Hill, Stephen",,,
"Wright, Tim",,,
"Washington, Corey",,,